CC_number,Loyalty_number,Car_ID,Name,CurrentEmploymentType,CurrentEmploymentTitle
9551,L5777,1,Nils Calixto,Information Technology,IT Helpdesk
1415,L7783,2,Lars Azada,Engineering,Engineer
9635,L3191,3,Felix Balas,Engineering,Engineer
7688,L4164,4,Ingrid Barranco,Executive,SVP/CFO
6899,L6267,5,Isak Baza,Information Technology,IT Technician
7253,L1682,6,Linnea Bergen,Information Technology,IT Group Manager
2540,L5947,7,Elsa Orilla,Engineering,Drill Technician
1877,L3014,9,Gustav Cazar,Engineering,Drill Technician
1311,L4149,11,Axel Calzas,Engineering,Hydraulic Technician
7108,L6544,12,Hideki Cocinaro,Security,Site Control
5407,L4034,13,Inga Ferro,Security,Site Control
7819,L5259,13,Inga Ferro,Security,Site Control
1874,L4424,14,Lidelse Dedos,Engineering,Engineering Group Manager
3853,L1485,15,Loreto Bodrogi,Security,Site Control
7354,L9254,16,Isia Vann,Security,Perimeter Control
7384,L3800,17,Sven Flecha,Information Technology,IT Technician
9617,L5553,18,Birgitta Frente,Engineering,Geologist
2418,L9018,19,Vira Frente,Engineering,Hydraulic Technician
6895,L3366,19,Vira Frente,Engineering,Hydraulic Technician
6816,L8148,20,Stenig Fusil,Security,Building Control
9405,L3259,21,Hennie Osvaldo,Security,Perimeter Control
3484,L2490,23,Varja Lagos,Security,Badging Office
4434,L2169,24,Minke Mies,Security,Perimeter Control
8202,L2343,24,Minke Mies,Security,Perimeter Control
2142,L9637,25,Kanon Herrero,Engineering,Geologist
1310,L8012,26,Marin Onda,Engineering,Drill Site Manager
2681,L1107,27,Kare Orilla,Engineering,Drill Technician
3492,L7814,27,Kare Orilla,Engineering,Drill Technician
9241,L3288,28,Isande Borrasca,Engineering,Drill Technician
3547,L9362,29,Bertrand Ovan,Facilities,Facilities Group Manager
6691,L6267,29,Bertrand Ovan,Facilities,Facilities Group Manager
6901,L9363,30,Felix Resumir,Security,Security Group Manager
5010,L2459,31,Sten Sanjorge Jr.,Executive,President/CEO
8156,L5224,32,Orhan Strum,Executive,SVP/COO
9683,L7291,33,Brand Tempestad,Engineering,Drill Technician
2463,L6886,35,Willem Vasco-Pais,Executive,Environmental Safety Advisor
3506,L7761,101,#N/A,#N/A,#N/A
9220,L4063,101,#N/A,#N/A,#N/A
9614,L5924,101,#N/A,#N/A,#N/A
8642,L2769,104,#N/A,#N/A,#N/A
7792,L5756,105,#N/A,#N/A,#N/A
2276,L3317,106,#N/A,#N/A,#N/A
4530,L8477,107,#N/A,#N/A,#N/A
9735,L9633,107,#N/A,#N/A,#N/A
